premise,hypothesis,gold_label,predicted_label
to uh working a steady eight hour job as it were i had been working for a camp and had relatively real long hours sixteen years old and could handle getting up at five and not getting to bed until ten or eleven and,I gave up on working for the camp due to the long working hours.,contradiction,neutral
"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was not written about Tommy O'Connor.,entailment,entailment
He needs to keep his finger on the pulse to succeed during the short tourist season.,He needs to match what his customer want because he only has three weeks to make it happen!,neutral,entailment
"In this enclosed but airy building, you'll find ladies with large machetes expertly chopping off hunks of kingfish, tuna, or shark for eager buyers.",The ladies have worked here cutting fish all their lives.,neutral,neutral
"In this case, shareholders can pay twice for the sins of others.",shareholders can't pay twice for the sins of others.,contradiction,contradiction
I thought working on Liddy's campaign would be better than working on Bob's.,I thought I would like working on Liddy's campaign the best.,neutral,entailment
"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.",The cathedral and fortress are located higher while the gates are below.,entailment,neutral
Boats in daily use lie within feet of the fashionable bars and restaurants.,There are boats close to bars and restaurants.,entailment,neutral
"Managing better requires that agencies have, and rely upon, sound financial and program information.",Agencies need sound financial and program information for good management.,entailment,entailment
"To keep the colors fresh, he dabbed the carcass with blood from a pail, then grabbed his paintbrushes to capture those lurid reds on canvas.",Many questioned why he was painting with blood in the first place.,neutral,neutral
Following publication of the proposed rule (58 Fed.,The proposed rule was published in the NYT.,neutral,contradiction
Nowadays it is bordered by ancient columns and lined with expensive shops.,"It's surrounded by columns, but there are no shops around.",contradiction,contradiction
"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.",This engineering task won't be very difficult to complete.,contradiction,contradiction
"'Not entirely,' I snapped, harsher than intended.",I spoke more harshly than I wanted to. ,entailment,entailment
"'Dave Hanson, to whom nothing was impossible.' Well, we have a nearly impossible task: a task of engineering and building.",This building job will be very difficult to complete.,entailment,entailment
Those Creole men and women you'll see dancing it properly have been moving their hips and knees that way since childhood.,Creole dances are learned from childhood.,entailment,entailment
"LSC set a deadline of October 1, 1998, for submission of state planning reports.",There is no deadline with the LSC to submit state planning reports,contradiction,contradiction
Do you know how long we've been here? he asked one morning as they sat facing each other at breakfast.,They were both enjoying a good conversation as they sat with each other at breakfast.  ,neutral,neutral
"Likewise, at their production decision reviews, these programs did not capture manufacturing and product reliability knowledge consistent with best practices.","At their production decision reviews, these programs did not capture manufacturing.",entailment,entailment
